id,title,abstract,category_1,category_2,error
10.1101/126490,When Group Means Fail: Can One Size Fit All?,"The present study examined whether a cognitive process model that is inferred based on group data holds, and is meaningful, at the level of the individual person. Investigation of this issue is tantam...",Working Memory,,
10.1101/539932,An Event-Related Potential Study of Onset Primacy in Visual Change Detection,"Onset primacy is a behavioural phenomenon whereby humans identify the appearance of an object (onset) with greater efficiency than other kinds of visual change, such as the disappearance of an object ...",Visual Attention and Eye Movements,Attention,
10.1101/716290,Post-learning replay of hippocampal-striatal activity is biased by reward-prediction errors,"Neural activity encoding recent experiences is replayed during sleep and rest to promote consolidation of memories. However, precisely which features of experience influence replay prioritisation to o...",Episodic Memory,Reward Mechanisms,
10.1101/724328,"Modular integration of neural connectomics, dynamics and biomechanics for identification of behavioral sensorimotor pathways in Caenorhabditis elegans",Computational approaches which emulate in-vivo nervous system are needed to investigate mechanisms of the brain to orchestrate behavior. Such approaches must integrate a series of biophysical models e...,Sensorimotor Coordination,,
10.1101/778969,Oscillatory Multi-Timescale Mechanisms Underlying Audiovisual Sequence Prediction,"Neural oscillations have been proposed to be involved in predictive processing, however less addressed in the multisensory context. In the present study, we recorded cortical activity using magnetoenc...",Cognitive Timing & Predictive Modeling,Multisensory Integration,
10.1101/2019.12.20.884262,Cognitive control of behavior and hippocampal information processing without medial prefrontal cortex,Cognitive control tasks require using one class of information while ignoring competing classes of information. The central role of the medial prefrontal cortex (mPFC) in cognitive control is well est...,Cognitive Flexibility,Inhibitory Control,
10.1101/2020.02.18.954354,An anatomical substrate of credit assignment in reinforcement learning,"A key problem in learning is credit assignment. Biological systems lack a plausible mechanism to implement the backpropagation approach, a method that underlies much of the dramatic progress in artifi...",Reward Mechanisms,Skill Learning,
10.1101/2020.03.09.983197,Oculomotor-related measures are predictive of reading acquisition in first grade early readers,"1Some estimates suggest that one in seven good readers and the majority of children with reading difficulties suffer from oculomotor dysfunction (OMD), an umbrella term for abnormalities in comfortabl...",,,
10.1101/2020.04.04.024703,Neural circuit mechanisms for steering control in walking Drosophila,"Orienting behaviors provide a continuous stream of information about an organisms sensory experiences and plans. Thus, to study the links between sensation and action, it is useful to identify the neu...",Sensorimotor Coordination,,
10.1101/2020.05.25.107300,Contributions of insula and superior temporal sulcus to interpersonal guilt and responsibility in social decisions,"This study investigated the neural mechanisms involved in feelings of interpersonal guilt and responsibility evoked by social decisions. In two studies (one during fMRI), participants repeatedly chose...",Social Functions,Decision-making,
10.1101/2020.06.04.132571,Altered Huntingtin-Chromatin Interactions Predict Transcriptional and Epigenetic Changes in Huntington's Disease Mouse Models,"Progressive striatal gene expression changes and epigenetic alterations are a prominent feature of Huntingtons disease (HD), but the mechanistic basis remains poorly understood. Using chromatin immuno...",,,
10.1101/2020.06.15.148114,Untangling stability and gain modulation in cortical circuits with multiple interneuron classes,"Synaptic inhibition is the mechanistic backbone of a suite of cortical functions, not the least of which are maintaining network stability and modulating neuronal gain. In cortical models with a singl...",Inhibitory Control,,
10.1101/2020.06.21.163980,microRNA-19b regulates proliferation & patterning in the avian forebrain,"Unlike the six-layered organization of neurons in the mammalian neocortex, the avian pallium features spatially-segregated neuronal clusters with partially conserved gene expression. While efforts to ...",,,
10.1101/2020.06.30.181149,"Chronic Pb2+ Exposure Causes Hippocampal Network Hypersynchrony, Absence Seizures, and Sensorimotor Deficits","Chronic early-life lead (Pb2+) exposure contributes to an array of cognitive and behavioral dysfunctions, including impaired attention, memory, and intellectual abilities, in addition to increased soc...",,,
10.1101/2020.09.02.280156,Chronic Intermittent Ethanol Activates CHOP in Striatal Microglia and Exacerbates Ethanol Withdrawal,Repeated cycles of alcohol intoxication and withdrawal induce profound changes in gene expression that can contribute to the physiological and behavioral consequences of ethanol. Since neuroinflammati...,,,
10.1101/2020.10.09.333831,The transcription factor CLAMP is required for neurogenesis in Drosophila melanogaster.,"AbstractNeural stem cell (NSC) differentiation is controlled by cell-intrinsic and external signals from the stem cell niche including niche surface glia (SG). However, the mechanisms by which transcr...",,,
10.1101/2020.10.29.360362,WITHDRAWN: Human temporal voice areas are sensitive to chimpanzee vocalizations,"Withdrawal StatementThe authors have withdrawn this manuscript due to a duplicate posting of manuscript number BIORXIV/2025/677258. Therefore, the authors do not wish this work to be cited as referenc...",,,
10.1101/2020.11.03.367466,MiniFAST: A sensitive and fast miniaturized microscope for in vivo neural recording,Observing the activity of large populations of neurons in vivo is critical for understanding brain function and dysfunction. The use of fluorescent genetically-encoded calcium indicators (GECIs) in co...,,,
10.1101/2020.12.22.424037,Temporal stimulus segmentation by reinforcement learning in populations of spiking neurons,"Learning to detect, identify or select stimuli is an essential requirement of many behavioral tasks. In real life situations, relevant and non-relevant stimuli are often embedded in a continuous senso...",Reward Mechanisms,Skill Learning,
10.1101/2021.01.21.427334,Getting Blood from a Stone: Improving Neural Inferences without Additional Neural Data,"In recent years, the cognitive neuroscience literature has come under criticism for containing many low-powered studies, limiting the ability to make reliable statistical in-ferences. Typically, the s...",,,
10.1101/2021.02.19.432002,The molecular infrastructure of glutamatergic synapses in the mammalian forebrain,"Glutamatergic synapses form the vast majority of connections within neuronal circuits, but how these subcellular structures are molecularly organized within the mammalian brain is poorly understood. C...",,,
10.1101/2021.04.09.439242,A framework for analyzing C. elegans neural activity using multi-dimensional hyperbolic embedding,"Neurons represent changes in external and internal environments by altering their activity patterns. While coherent brain-wide patterns of neural activity have been observed in neuronal populations, v...",Multisensory Integration,Sensorimotor Coordination,
10.1101/2021.04.23.441122,Persistent Firing Neurons in the Medial Septum Drive Arousal and Locomotion,"The medial septum and diagonal band of Broca (MSDB) serve as a central hub in an ascending brainstem pathway that conveys sensory and motor signals to the limbic system. However, the cellular and circ...",Arousal & Attention States,Motivational Drives,
10.1101/2021.05.25.445442,INTEROCEPTIVE INFORMATION OF PHYSICAL VIGOR THROUGH CIRCULATING INSULIN-LIKE GROWTH FACTOR 1,"The brain relies on interoceptive feedback signals to regulate bodily functions. Mice with low serum IGF-1 levels (LID mice) exhibit reduced spontaneous running, a behavior that normalizes after susta...",Reward Mechanisms,Motivational Drives,
10.1101/2021.05.27.446050,Perceptual clustering in auditory streaming,Perception is dependent on the ability to separate stimuli from different objects and causes in order to perform inference and further processing. We have models of how the human brain can perform suc...,Auditory Processing,,
10.1101/2021.06.05.447225,Adapt-A-Maze: An Open Source Adaptable and Automated Rodent Behavior Maze System,"Mazes are a fundamental and widespread tool in behavior and systems neuroscience research in rodents, especially in spatial navigation and spatial memory investigations in freely behaving animals. How...",,,
10.1101/2021.07.06.451358,The striatal heterogeneous nuclear ribonucleoprotein H mRNA targetome associated with methamphetamine administration and behavior,Methamphetamine addiction remains a major public health concern in the United States that has paralleled the opioid epidemic. Psychostimulant use disorders have a heritable genetic component that rema...,,,
10.1101/2021.07.19.452925,The zebra finch auditory cortex reconstructs occluded syllables in conspecific song,"In the perceptual illusion known as phonemic (or auditory) restoration, listeners hear sounds occluded by short bursts of noise. The neural mechanisms that create this illusion by generating predictio...",Auditory Processing,,
10.1101/2021.08.03.454870,Transcranial magnetic stimulation of the occipital cortex interferes with foot movements in acquired but not congenitally blind individuals,"Research has shown that the occipital cortex can be reorganized and repurposed for nonvisual perception and cognitive functions following visual loss in blind individuals. However, no studies have dir...",Motor Coordination,,
10.1101/2021.08.04.455133,"Default Mode Network Connectivity Predicts Individual Differences in Long-Term Forgetting: Evidence for Storage Degradation, not Retrieval Failure","Despite the importance of memories in everyday life and the progress made in understanding how they are encoded and retrieved, the neural processes by which declarative memories are maintained or forg...",Episodic Memory,,
10.1101/2021.08.16.456582,VAMP7-dependent mitochondria-lysosome contacts regulate glial mitochondrial dynamics and dopaminergic neuron survival,"Disrupted mitochondrial dynamics in neurons are linked to neurodegenerative diseases, but their regulation in glia remains poorly understood. Here, we show that the R-SNARE protein VAMP7 regulates the...",,,
10.1101/2021.09.30.462517,Hippocampus does not appear to be a major target of thalamic nucleus reuniens,"The prefrontal - hippocampal - entorhinal system is perhaps the most widely-studied circuit in cognitive and systems neuroscience, due to its role in supporting cognitive functions such as working mem...",,,
10.1101/2021.10.04.462977,Causal evidence for a domain-specific role of left superior frontal sulcus in human perceptual decision-making,"Humans and animals can flexibly choose their actions based on different information, ranging from objective states of the environment (e.g., apples are bigger than cherries) to subjective preferences ...",Decision-making,Logical Reasoning,
10.1101/2021.10.18.464704,Combatting nonidentifiability to infer motor cortex inputs yields similar encoding of initial and corrective movements,"Primary motor cortex (M1) plays a central role in voluntary movement, but how it integrates sensory-driven corrective instructions is unclear. We analyzed population activity recorded from M1 of macaq...",Adaptive Error Correction,Sensorimotor Coordination,
10.1101/2021.11.10.468116,"Molecular, anatomical, and functional organization of lung interoceptors","Interoceptors, sensory neurons that monitor internal organs and physiological states, are essential for regulating physiology, shaping behavior, and generating internal perceptions. Here, we present a...",,,
10.1101/2021.11.22.469359,Neural computations in the foveal and peripheral visual fields during active search,"Visual search depends on both the foveal and peripheral visual system, yet the foveal attention mechanisms is still lack of insights. We simultaneously recorded the foveal and peripheral activities in...",Visual Attention and Eye Movements,Attention,
10.1101/2021.11.29.470404,Dual-modal metabolic analysis reveals hypothermia-reversible uncoupling of oxidative phosphorylation in neonatal brain hypoxia-ischemia,"Hypoxia-ischemia (HI), which disrupts the oxygen supply-demand balance in the brain by impairing blood oxygen supply and the cerebral metabolic rate of oxygen (CMRO2), is a leading cause of neonatal b...",,,
