id,title,abstract,category_1,category_2
10.31234/osf.io/kg4ns,From Voice to Self: An Integrative Framework on Self-Voice Processing,"The self-voice plays a fundamental role in communication and identity, yet remains a relatively neglected topic in psychological science. As AI-generated and digitally manipulated voices become more c...",Self-reflection,Multisensory Integration
10.31234/osf.io/chq2r,A Preliminary Longitudinal fMRI Study of Neural Cannabis Cue-Reactivity in Adults Who Use Cannabis and Controls,"Background
Cannabis use is highly prevalent worldwide. Craving, a key feature of cannabis use disorder, drives continued and problematic cannabis use. Functional magnetic resonance imaging studies hav...",,
10.31234/osf.io/3skzc,What Makes Us Musical Animals,"Musicality, akin to the innate human capacity for language, develops spontaneously and is shaped by cognitive abilities and biological constraints. Unlike music, which varies across cultures, musicali...",,
10.31234/osf.io/eq4kh,Active inference and speech motor control: a review and theory,Active inference is a domain-general theory of brain functioning which reconceptualizes the perception-action interface in terms of a common process of minimization of sensory prediction errors (Adams...,Sensorimotor Coordination,Auditory Processing
10.31234/osf.io/fkz9q,How Foundation Models Are Reshaping Non-Invasive Brain–Computer Interfaces: A Case for Novel Human Expression and Alignment,"SYNAPTICON is a research prototype at the intersection of neuro-hacking, non-invasive brain-computer interfaces (BCIs), and foundation models, probing new territories of human expression, neuroaesthet...",,
10.31234/osf.io/bz3f9,Trade-off between performance and human-like perception in face recognition models,"In the past decade, different computational models have been developed for face recognition. Despite their widespread use in cognitive neuroscience studies, it is not well understood whether their exc...",Face Recognition,
10.31234/osf.io/9dw3j,White-Matter Alterations in Right-Hemispheric Language Pathways in Deaf Signers,"Language processing relies on a distributed network of white-matter pathways connecting frontal, temporal, and parietal regions of cortex. While the arcuate fasciculus in the left hemisphere connectin...",Language Comprehension,Language Production
10.31234/osf.io/gbhar,Moving Forward: Lessons From Abroad and the Need for a Unified Approach to Clinical Neuropsychology Training in Canada,Clinical neuropsychology as a field was fundamentally informed by Canadians almost a century ago and has seen significant growth over the past twenty years globally. While doctoral-level training has ...,,
10.31234/osf.io/yhz6v,The distinctive power of odors in evoking memories explained by their emotional characteristics: New insights into episodic memory,Odors are often considered to be particularly powerful at evoking memories. We hypothesized that the emotional relevance of olfactory stimuli grants them privileged access to memory traces. Using a vi...,Episodic Memory,
10.31234/osf.io/zj23s,Bodily Rhythms Gate Action–Perception Coupling,"Perception and action form a feedback loop through which organisms gather information to guide behaviour. Yet many theories still treat perception as a passive process, disconnected from the movements...",Sensorimotor Coordination,Autonomic Regulation
10.31234/osf.io/kpe9r,From Museum to Workshop: A Pragmatist Intervention in Science of Consciousness,"Despite notable empirical advances, the science of consciousness lacks firm conceptual footing. Competing theories not only disagree on mechanisms but also define consciousness in mutually incompatibl...",,
10.31234/osf.io/j8x4w,Musical Animals: Are we? Can there be?,"Recent interdisciplinary advances have transformed the study of the evolution of music. Rather than treating music as a cultural artifact, current research targets musicality—the biological capacity e...",Auditory Processing,Cognitive Timing & Predictive Modeling
10.31234/osf.io/85vah,The Third Visual Pathway for Social Perception,"Influential models of primate visual cortex describe two functionally distinct pathways: a ventral pathway for object recognition and the dorsal pathway for spatial and action processing. However, rec...",Theory of Mind,Social Functions
10.31234/osf.io/meh8j,Considerations for setting up an S-tier behavioral and brain science laboratory,"For decades, behavioral and brain research has advanced by isolating single variables or brain regions to study behavior and performance. While informative, it has become increasingly clear that such ...",,
10.31234/osf.io/bzt2h,Webcams can be used to study eye movements during reading,"Eye-movements have revealed a wealth of information about how readers process written language. Modern eye trackers can record eye-movements in the lab with high accuracy. However, such equipment is e...",Visual Attention and Eye Movements,
10.31234/osf.io/9tjer,Persistent burnout theory of ME/CFS,"There is no agreement on the etiology of myalgic encephalomyelitis / chronic fatigue syndrome (ME/CFS), and the main theories (behavioural and viral/immune) do not satisfactorily explain the condition...",Autonomic Regulation,Motivational Drives
10.31234/osf.io/e9yva,Beyond exposure: Toward more precise terminology in nature and health research,Imprecise language can weaken understanding of human–nature relationships. Widespread use of the term “exposure” to describe nature’s health impacts treats diverse experiences as uniform “doses” like ...,,
10.31234/osf.io/c973p,The Efficacy of Neurofeedback on Attention-Deficit/Hyperactivity Disorder (ADHD): A Meta-Analysis,"This preprint presents a meta-analysis derived from my Master’s thesis, synthesizing 12 clinical studies (total N = 327) investigating the effectiveness of neurofeedback interventions for Attention-De...",Attention,
10.31234/osf.io/p84qz,How Temporal Predictability of Threat and Action Preparation Affect Defensive Freezing Responses,"Defensive responses to threat are critical for survival and often involve freezing-like behavior, which has been linked to action preparation. However, it remains unclear how this preparatory mechanis...",Reflexive Responses,
10.31234/osf.io/68s3h,"Talent+: A Model for Equitable Recruitment, Training, and Mentorship in Cognitive Science","While systemic inequalities persist in academia, internship programs can be a tool to broaden participation in science. With this in mind, the Talent+ internship program was designed to create (1) a r...",,
10.31234/osf.io/gauqm,Does Integrated Information Theory (IIT) make experimental predictions about consciousness?,"Integrated Information Theory (IIT; Albantakis et al., 2023) is a well-known theory of consciousness. In recent years, it has drawn vocal criticism (e.g., IIT-Concerned et al., 2023, 2025). Much of th...",,
10.31234/osf.io/4kqhs,Failure to Replicate Previous Reports of Associations Between Fluid Intelligence and EEG Signal Complexity and Microstates: A Preregistered Study in a Large Sample,Resting-state electroencephalogram (EEG) dynamics have been proposed as neural markers of individual cognitive abilities. Previous reports linked fluid intelligence with signal complexity derived from...,,
10.31234/osf.io/cr9k6,Correcting for Unequal Variance in Signal Detection Models Using Response Time,This study examines performance evaluation in perceptual detection tasks using response time (RT) data for signal detection theory (SDT) analysis. A defining feature of detection tasks is the asymmetr...,,
10.1016/j.cogsys.2008.06.002,A computational account of dreaming: learning and memory consolidation,"A number of studies have concluded that dreaming is mostly caused by randomly arriving internal signals because “dream contents are random impulses”, and argued that dream sleep is unlikely to play an...",Episodic Memory,Lifelong Learning
10.31234/osf.io/s54ng,Tutorial review of the unconscious perception research: critical arguments and possible solutions,"We often assume that our interactions with the world are primarily driven by conscious experiences. However, numerous experimental and clinical reports indicate that stimuli not consciously perceived ...",,
10.31234/osf.io/873th,Testing the Relationship between Phenomenological Control related to Illusion Sensitivity,"Visual illusions highlight how easily our conscious experience can be altered with respect to perceptual reality. Despite sharing in-principle mechanisms with phenomenological control, i.e., the abili...",,
10.31234/osf.io/9krz8,Have you tried switching it off and on again? Mechanisms and therapeutic prospects of resetting homeostatic set points in medicine and neuropsychiatry,"Many chronic neurological, psychiatric and interface disorders can be understood as conditions where maladaptive homeostatic set points become entrenched, driving pathological states that resist spont...",,
10.31234/osf.io/hckpm,Revamping neuroimaging analysis to reveal biomarkers of adolescent mental health,"Advances in neuroscience research provide an unprecedented opportunity to identify the etiopathogenesis of mental health disorders. Yet, it has proven difficult to find reliable associations between n...",,
10.31234/osf.io/kydza,Unraveling the Complexity Gap: A Mechanistic Investigation of Machine Learning  Classification in Panic Disorder,"Background: Machine learning (ML) models trained on socioeconomic, physiological, and behavioral markers can classify panic disorder (PD) with high accuracy. Yet the mechanisms underlying these predic...",,
10.31234/osf.io/873j6,Simultaneous representation of multiple object-states in language is supported by theta-gamma phase-amplitude coupling,"How do our brains represent events in language? Recent work has shown that when we comprehend state-change events, multiple representations corresponding to different states of an object are simultane...",Working Memory,Language Comprehension
10.31234/osf.io/gjk45,How Much Variance Does Your Model Explain? A Clarifying Note on the Use of Split-Half Reliability for Computing Noise Ceilings,"Noise ceilings estimated from a dataset's split-half reliability offer a powerful way to quantify how much variance a model can in principle explain given the noise in the dataset, allowing researcher...",,
10.31234/osf.io/dv2hm,The effects of transcranial electrical stimulation (tES) on interference control: A systematic review of stimulation effects,Interference control has received a lot of attention throughout the centuries and has been studied extensively in recent years with regards to how it can be modulated by transcranial electrical stimul...,Inhibitory Control,
10.31234/osf.io/uabwr,Measuring the genuine mismatch negativity in the auditory multi-feature paradigm,The mismatch negativity (MMN) is a well-studied event-related potential (ERP) component in the EEG reflecting deviance detection in the auditory modality. It taps into the basic functioning of auditor...,Auditory Processing,
10.31234/osf.io/4n5ks,Experience-dependent rapid structural changes in the human brain: A systematic review,"Structural brain plasticity has traditionally been viewed as a gradual process developing over days to weeks of training or experience. Recent neuroimaging evidence, however, demonstrates that measura...",,
10.31234/osf.io/vgm9u,A Covert Attention–Augmented Motor Imagery Hybrid Paradigm for Brain–Computer Interfaces,"Motor imagery (MI) is widely used in brain–computer interfaces (BCIs) and has been applied in neurorehabilitation to support motor recovery in stroke patients. As an intrinsic paradigm, MI requires no...",Attention,Sensorimotor Coordination
10.31234/osf.io/7erj2,Linguistic Cues do not Influence Subliminal Visual Processing – an Electrophysiological Study,This preregistered study investigated whether linguistic information can influence low-level visual perception. We argue that many previous studies supporting this view have significant shortcomings. ...,,
10.31234/osf.io/c7wn2,Do mirror neurons contribute to Antisocial Personality Disorder? A narrative review of evidence and theoretical models,"Antisocial Personality Disorder (ASPD) is characterised by chronic impulsivity, social irresponsibility, and a reduced capacity for empathy. Since mirror neurons have been proposed to contribute to em...",Empathy,
10.1007/s12559-009-9023-x,A consequence of failed sequential learning: A computational account of developmental amnesia,"Developmental amnesia, featured with severely impaired episodic memory and almost normal semantic memory, has been discovered to occur in children with hippocampal atrophy. Such amnesia seems to chall...",Episodic Memory,Semantic Understanding & Context Recognition
10.31234/osf.io/5ybhk,Defining ‘psychedelic’,"Humphry Osmond coined the term ‘psychedelic’ in 1956, conjoining ‘psyche’ for ‘soul’ and ‘delic’ from ‘dêlos’ for ‘to manifest’ or ‘illuminate.’ Soul-illumination is an adjective that describes a psyc...",,
10.31234/osf.io/hd6je,Inter-individual similarities in internal models of the world shape similarities in the perception and neural processing of scenes,"Every individual person perceives the visual world in their own unique way, yet we still know little about the origins of these individual differences. Here, we propose that idiosyncrasies in internal...",Scene Understanding / Visual Reasoning,
10.31234/osf.io/tw3jf,Navigating the approach-avoidance matrix: A novel task in a foraging task in virtual reality,"Adaptive fear responses help individuals avoid danger, but excessive avoidance can hinder learning and contribute to persistent anxiety. To investigate the dynamics of approach–avoidance (AA) conflict...",Decision-making,Inhibitory Control
10.31234/osf.io/tuhd5,Can AI serve as a bridge between laboratory and real-world pupillometry? A perspective on real-world neuroscience,Measuring human brain activity in the real world has long remained a major challenge in conventional neuroscience. Pupil dynamics offer a promising non-invasive proxy for arousal-related multidimensio...,,
10.31234/osf.io/hdrpx,Early computation of valence: Garner interference between valence and hue in conscious perception of color,"Barrett &amp; Bar (2009) proposed that valence and other aspects of one’s affective response to stimuli could be processed in parallel with visual features such as color and shape, so making affect pa...",Visual Perception,
10.31234/osf.io/czdkm,"Interoceptive Rhythms and Perceptual Experience:  Mechanisms, Contexts, and Strategies for Real-World Research","A growing body of evidence indicates that perception is shaped not only by external stimuli but also by rhythmic signals originating from the heart, lungs, and stomach. These ongoing internal bodily r...",,
10.31234/osf.io/msz2a,A Pilot fMRI Study of Decision-Making Under Uncertainty in Anorexia Nervosa,Objective: Anorexia nervosa is characterized by decision-making that demonstrates an intolerance of uncertainty focused on food of unknown caloric content. This pilot study tested whether this intoler...,Decision-making,
10.31234/osf.io/tjgev,On the relation between cortical information processing and geometrical adaptation during a learning task: A conceptual mechanical feedback loop framework.,"The expansion and gyrification of the human cerebral cortex support the topologically
complex connectome required for brain-wide cognitive tasks. While macroscopical
cortical curvature is largely stab...",,
10.31234/osf.io/wjxzk,Speakers with cerebellar ataxia do not adapt duration of speech segments,"Sensorimotor adaptation (motor learning) is crucial to maintain movement accuracy. This is particularly true for temporal control, as duration and initiation timing are perceived only after the moveme...",Adaptive Error Correction,Cognitive Timing & Predictive Modeling
10.31234/osf.io/m9wdc,"Expert Perspectives on Speech Disorders: The Roles of Bilingualism, Music Therapy, and Holistic Approaches",Therapeutic interventions for speech pathologies have evolved over time with an increase in our understanding of the underlying neuroanatomical basis and the types of interventions available. The foll...,,
